lang;mlan;nature
;ɑ̂;
et;bô;cnjcoo
dans;ntʉ̂m;pr
avec;bô;pr
commerce;ta;n,m
nuit;twəʼ;n,f
histoire;cɔ̀;n,f
orange;bùma;n,f
histoire;cò;n,f
nourriture;caŋ;n,f
singe;ngɑm<b/>mɑkè;n,m
abolition;nə̀<b/>biagə;n,f
chien<b/>sauvage;mbʉ̂<b/>cwɛd;n,m
chat;bùsi;n,m
poison;ngǒnntsə;n,m
champ;cwɛd;n,m
palais;ncwɛ̀d;n,m
prison;ndɑ̂<b/>ca;n,f
habille;nzwə;n,m
paraisseu;lɔ;n,f
savoire;nə̀<b/>lɛ̀nə;n,m
sagesse;zə̂nù;n,f
radio;mfoŋə;n,f
téléphone;kɑb;n,m
rène;nzwî<b/>mfə̀n;n,f
cartable;bɑ̂m<b/>ŋwàʼnì;n,GD
bébé;mɛ̂n<b/>fi;n,m,sg
bateau;la<b/>nstə<b/>baʼ;n,m,sg
chien;mbwə;n,m
avion;saŋvʉ̀;n,m
maison;baʼ;n,f
fille;ngòn;n,f
livre;buʼ<b/>ŋwàʼnì;n,m
tête;tu;n,f
oursin;nyɑm<b/>ntsə;n,GD,sg
commerce;ta;n,m,sg
union;tàmtə̀;n,f,sg
nuit;twəʼ;f,sg
personnes;bə̀nntʉ̀n;n,f,pl
maitre;ngà<b/>tswìtə̀;n,m,sg
maitre;ghâ<b/>tswìtə̀;n,m,pl
marché;ntɑnə;n,m,sg
boutique;ndɑ̂<b/>ntɑnə;n,f,sg
nom;lɛn;n,f
ordinateur;lôŋvʉ̀;n,m
voiture;yanbàʼ;n,f
école<b/>de<b/>conduite;dʉ̂ʼ<b/>ŋwàʼnǐ<b/>sòŋ;n,f
singe;ngɑm<b/>mɑkè;n,m
abolition;biagə;n,f
chien<b/>sauvage;mbʉ̂<b/>cwɛd;n,m
poison;ngǒnntsə;n,m
chaussure;nkətoʼo;n,f
mauvais/e;kə̀bwɔ̀;n,GD
bien;mə̀bwɔ;n,m
paraisseu;ndɔ;n,f
habitude;màd;n,f
savoire;lɛ̀nə;n,m
sagesse;zə̂nù;n,f
arrachide;kə̀nà;n,f
television;ngʉɑyən;n,f
horloge;nyàm;n,f
roi;mfə̀n;n,m
rène;nzwî<b/>mfə̀n;n,f
sac;bɑ̀m;n,m
cartable;bɑ̂m<b/>ŋwàʼnì;n,GD
bébé;mɛ̂n<b/>fi;n,m,sg
nurriture;caŋ;n,f,sg
bateau;la<b/>nstə<b/>baʼ;n,m,sg
ocean;dibɑ<b/>ntsə;n,n
pied;kù;n,m
avion;saŋvʉ̀;n,m
monde;ngɔ̀;n,m
maison;bàʼ;n,f
homme;mɑndùm;n,m
fille;ngòn;n,f
month;ŋwə;n,m
livre;buʼ<b/>ŋwàʼnì;n,m
tête;tu;n,f
roi;mfə̀n;n,m
sac;bɑ̀m;n,m
amour;nkɔ̀nì;n,m,sg
nurriture;caŋ;n,f,sg
ocean;dibɑ<b/>ntsə;n,n
pied;kù;n,m
monde;ngɔ̀;n,m
homme;mɑndùm;n,m
month;ŋwə;n,m
père;tɑ;n,m
banque;ndɑ̂<b/>nkɑb;n,GD,sg
salon;tôʼ<b/>mò;n,m,sg
chambre<b/>à<b/>couché;tôʼ<b/>ndɑ;n,f,sg
ONU;tàmtə̀<b/>ngɔ̀ngɔ̀;f,sg
SIDA;kòglòg;n,m,sg
ferre;tʉnə;n,m,sg
bois;ncwɛn;n,m,sg
OMS;kêm<b/>ngɔ̌ngɔ̀;n,f
president;tâ<b/>ngɔ̀;n,m,sg
patron;tɑ̂<b/>bǎgngɔ̀;n,m,sg
restaurant;ndɑ̂<b/>caŋ;n,m,sg
gouverneur;tɑ̂<b/>bǎgngɔ̀;n,m
préfet;tɑ̂<b/>tǎŋngɔ̀;n,m
lampe;nkàʼ;n,f
police;toŋkù;n,f
gendarme;bə̀fə̀;n,m
militaire;nkə̀tuʼu;n,f
kuàn;esclave;n,m
feu;bwoge;n,m
enfer;ndɑ̂<b/>mbwogə;n,m
corde;nkʉ;n,m
bandit;ncɔ;n,mf
fou;mbɑ̂bunə;n,m
folle;mbɑ̂bunə;n,f
marabout;ngà<b/>kà;n,f
poule;ngab;n,f,sg
chaisse;diaŋ;n,f,sg
pion;bà;n,m,sg
jour;njʉ;m,sg
quelquʼun;mɛ̀nntʉ̀n;n,m,sg
histoirien;ndɛ̀n<b/>ngɑ̂mcò;n,f,sg
mathematic;tata;n,f,sg
terre;nsi<b/>caʼ;n,GD
élèves;ghǎ<b/>ziʼtə̀;n,m,pl
photo;sə̂və̀;n,m,sg
Dieu;Nsi;n,f,sg
connaitre;lɛne;n,f
pasteur;mbêdbwə;n,m
Jésus;Yɛsɔ̀;n,f
bible;Ncobnsi;n,f
clé;ki;n,m
voix;nzə̀;n,f
arbre;tʉ;n,m
chant;kwì;n,m
poison;cə̀b;n,m
dos;mvɛ̀n;n,m
fesse;ncwɛ̂dtùn;n,m
sang;ləm;n,f
ongle;nkib;n,f
bagarre;nzwə̀ʼ;n,m
caffard;mbɛnmbɛnə;n,GD
cheveux;nyǎŋtu;n,m
cou;tɔ;n,f
épaule;nkə̀bə̀ʼ;n,f
peau;ngùb<b/>wud;n,m
corp;wud;n,f
pied;kù;n,f
main;bu;n,f
doits;ntubu;n,m
ncù;bouche;n,f
oeil;lag;n,f
yeux;miɑg;n,m
oreille;nzwî<b/>mfə̀n;n,f
langue;lem;n,m
cerveau;nziàʼtu;n,GD
nez;nkɔ̂ntsəlag;n,m,sg
narines;mfâŋntselag;n,m,sg
ventre;bam;n,f,sg
dent;sɔ;n,m,sg
dents;nsɔ̀;n,pl
dos;mvɛ̀n;n,m
rein;zwəʼ;n,m
foi;mbì;n,m
vein;ngǎləm;n,f
os;vog;n,m
pouce;mɑdʉ̀ʼ;n,f
index;ndâdnyaʼ;n,m
majeur;nsà<b/>ntubu;n,m
orriculair;nkêb<b/>ntubu;n,m
index;ndâdsog;n
annulaire;nsòkwa;n
où;yɑ;adv,itg
être;bə;vbser
récolter;ba;vblex
endommager;bagdə;vblex
détruire<g><b/>totalement</g>;bagtə<b/>fafa;vblex
accepter;bamə;vblex
approuver;bamə;vblex
reconnaître;bamə;vblex
répondre;bamə;vblex
supplier;batə;vblex
caractériser;bàgtə̌<b/>màd;vblex
décrier;bàgtə̌;vblex
décrire;bàgtə̌;vblex
définir;bàgtə̌;vblex
opérer;bàgə;vblex
déplacer;bàtə̌<b/>dʉʼ;vblex
changer;bàtə̌;vblex
modifier;bàtə̌;vblex
ressusciter;bǎm<b/>nǔm<b/>vʉ;vblex
rembourser;bǎʼ<b/>nkab;vblex
payer;be;vblex
boucher;biag<b/>tɔ;vblex
éliminer;biagə;vblex
étiendre;biagə;vblex
balayer;bìʼtə̌;vblex
aroser;bumə;vblex
applodire;buʼ<b/>mbu;vblex
jouer<g><b/>du<b/>tambour</g>;buʼ<b/>tom;vblex
sonner;buʼu;vblex
sonner;buʼu;vblex
repéter;bwogtə;vblex
bouillir;bwonə;vblex
répondre;bwʉ̀ntə̌;vblex
détester;bɑnə;vblex
briser<g><b/>en<b/>morceaux</g>;bəʼtə̂<b/>ndɔ̌ndɔ̀;vblex
casser;bəʼə;vblex
récolter;bəʼə;vblex
bombarder;bɛd<b/>nbwogə;vblex
revendiquer;bɛdtə<b/>nǔ<b/>nùm;vblex
interroger;bɛdtə;vblex
annoncer;bʉ;vblex
permettre;bʉ;vblex
prométtre;bʉ;vblex
saluer;bʉ;vblex
lever;bʉʼʉ;vblex
conduire;cagə;vblex
transmettre;cagə;vblex
diriger;càgtə̌;vblex
heurter;càmə;vblex
prier;càʼtə̌<b/>nsi;vblex
butiner;cǎb<b/>ncù;vblex
trébucher;cǎm<b/>kù;vblex
filtrer;cilə;vblex
entrer;co;vblex
entrer;co;vblex
bavader;cobtə;vblex
exprimer;cobə;vblex
parler;cobə;vblex
ouvrir;coʼo;vblex
récolter;coʼo;vblex
jurer;coʼtə<b/>ncà;vblex
effrayer;còŋə;vblex
purger;còŋə;vblex
rigoler;cǒm<b/>zwì;vblex
essuyer;cwitə;vblex
étonner;cɑmə;vblex
ensevelir;cɑŋə;vblex
déborder;cʉàtə̌;vblex
passer;cʉǎ;vblex
tenir;cʉbə;vblex
réchauffer;dùmdə̌;vblex
chauffer;dùmtə̌;vblex
réchauffer;dùmtə̌;vblex
frotter;dʉʼdə;vblex
déchirer;fagə;vblex
fonctionner;faʼa;vblex
labourer;faʼa;vblex
déchirer;fàgə;vblex
récolter;fàgə;vblex
sucer;finə;vblex
reposer;fitə;vblex
mesurer;fìʼi;vblex
trouver;fonə;vblex
ressembler;fotə;vblex
sembler;fu;vblex
équiper;fɑ<b/>cû<b/>fàʼ;vblex
adorer;fɑ<b/>məbâm<b/>nsi;vblex
armer;fɑ<b/>ngɑn;vblex
financer;fɑ<b/>nkɑk;vblex
conseiller;fɑ<b/>ntag;vblex
donner;fɑ;vblex
donner;fɑ;vblex
offrir;fɑ;vblex
égarer;fɑ̌n<b/>nzə̀;vblex
grincer<g><b/>des<b/>dents</g>;fɛd<b/>nsɔ;vblex
consommer;fɛlə;vblex
verser;fɛ̀dtə̌;vblex
voler;fʉlə;vblex
fermer;fʉ̀nə;vblex
verrouiller;fʉ̀nə;vblex
tromper;fʉ̌;vblex
tromper;fʉ̌;vblex
boutonner;fʉ̌n<b/>mbǎʼnzwə;vblex
contester;gha;vblex
refuser;gha;vblex
partager;ghàbə;vblex
jeter;ghoaʼa;vblex
arrester;ghomə;vblex
attraper;ghomə;vblex
moudre;ghoʼo<b/>mbâbmbab;vblex
grossir;ghoʼo;vblex
écraser;ghoʼo;vblex
durer<g><b/>longtemps</g>;ghubtə<b/>yɑmə;vblex
durer;ghubtə;vblex
nuire;ghùdnǐ;vblex
troubler;ghə̀dnǐ;vblex
faire;ghʉ̌;vblex
improviser;ghʉ̀<b/>kàʼ;vblex
avoir;ghʉ̌;vblex
acheter<g><b/>une<b/>maison</g>;jun<b/>tàʼ<b/>bàʼ;vblex
acheter;junə;vblex
écouter;juʼu;vblex
profiter;jʉ<b/>bìn;vblex
consommer;jʉ;vblex
couvrir;kabtə;vblex
promener;katə;vblex
tourner;kaŋə;vblex
jongler;kàŋtə̌;vblex
travailler<g><b/>dur</g>;kǎg<b/>tùn;vblex
attaquer;kǎm<b/>ncà;vblex
nourrir;kemə;vblex
éclairer;keʼe;vblex
délier;kiɑ̀gə;vblex
dessiner;kǐ<b/>sə̂və̀;vblex
documenter;kǐ<b/>ŋwàʼnì;vblex
rédiger;kǐ;vblex
écrire;kǐ;vblex
diminuer;kogə;vblex
ronfler;komə;vblex
monter;koʼo;vblex
ramper;kòmə;vblex
pluerer;kuàʼa;vblex
gratter;kuǎ;vblex
conclure;kud<b/>>tǔn<b/>nù;vblex
décorer;kune<b/>dʉʼ;vblex
orner;kuni<b/>dʉʼ;vblex
arriver;kùmə;vblex
atteindre;kǔm;vblex
toucher;kwagə;vblex
réfléchir;kwàtə̌;vblex
penser;kwǎ;vblex
prendre;kwe;vblex
recevoir;kwe;vblex
souvenir;kwimtə;vblex
broder;kwitə;vblex
enrichir;kwǐʼ<b/>fùʼ;vblex
mourir;kwʉ;vblex
bâtir;kwʉlə;vblex
aimer;kɔ̌;vblex
trasser;kəb<b/>nka;vblex
déjeuner;kəb<b/>ntsiʼ;vblex
découper;kəbtə;vblex
tamiser;kə̀ʼtə̌;vblex
surcharger;kə̌d<b/>lɛ̀d<b/>yɑmə;vblex
entasser;kʉmtə;vblex
rassembler;kʉmtə;vblex
regrouper;kʉmtə;vblex
reculer;kʉʼtə;vblex
couvrir;kʉ̌<b/>ndə;vblex
fuir;kʉ̌;vblex
oublier;lagtə̌;vblex
frapper;làbə;vblex
pardonner;làgtə̀<b/>mfɑ;vblex
obliger;làgtə̌;vblex
évaluer;làŋtə̌;vblex
reprocher;làʼa;vblex
nager;lǎ<b/>ntsə;vblex
garder;liʼi;vblex
économiser;lǐʼ<b/>nkɑb;vblex
observer;lodə;vblex
accentuer;lòʼ<b/>mbwə̀;vblex
user;lòʼ<b/>ngʉ̂;vblex
quitter;lǒ;vblex
recruter;lǒʼ<b/>mɛ̀n<b/>fàʼ;vblex
nettoyer;lɑntə;vblex
remercier;lɑ̀btə̌;vblex
sentir;lɑ̀mə;vblex
regarder;lɔtə;vblex
cacher;lə̌;vblex
peser;lɛ̀lɛ;vblex
savoire;nə̀<b/>lɛ̀nə;vbhaver
lancer;maʼa;vblex
emprisonner;màʼ<b/>ca;vblex
vaincre;màʼ<b/>ncʉâ;vblex
lancer;màʼa;vblex
vaincre;mâʼ<b/>ncò<b/>ncʉâ;vblex
emprisonner;mǎʼ<b/>ca;vblex
vêtir;mǎʼ<b/>nzwə;vblex
cuire;bwə;vblex
accoucher;bwə;vblex
relire;mbɛ̀n<b/>siaŋə;vblex
revivre;mbɛ̀n<b/>yɑ̂gə;vblex
achever;miàgtə̌;vblex
émerveiller;miɑg<b/>nə̀̀<b/>tum<b/>sɑmmbɑhɑ;vblex
veiller;mǒ;vblex
taire;məm<b/>ncù;vblex
sourire;mə̌ʼ<b/>zwì;vblex
planifier;na<b/>nù;vblex
préparer;na;vblex
hésiter;naʼ<b/>ngube<b/>mfaʼa;vblex
former;nàbtə̌;vblex
fabriquer;nàbə;vblex
punir;ndǎ<b/>tû;vblex
sucrer;ndʉ̀mtə̌;vblex
jurer;nu<b/>ngʉə̀;vblex
fumer;nu<b/>nə̀bàʼ;vblex
boire;nu;vblex
consommer;nu;vblex
danser;nyàŋə;vblex
presser;nyi;vblex
appuyer;nyuʼu;vblex
baptiser;nyǔʼ<b/>ntsə;vblex
tremper;nyǔʼ<b/>ntsə;vblex
appuyer<g><b/>sur</g>;nyǔʼ<b/>nùm;vblex
paître;nyɑ̀m<b/>nə̀nà;vblex
produire;nɑ̀btə̌;vblex
saluer;càʼtə̌;vblex
cultiver;dʉʼʉ;vblex
tromper;fə̀mə;vblex
acquérir;kwe;vblex
vouloir;kɔ̌;vblex
tailler;kəbtə;vblex
caler;laʼa;vblex
habiter;tswə;vblex
goûter;zwiʼtə;vblex
rétablir;mbɛ̀n<b/>nabtə;vblex
entrer<g><b/>en<b/>amitié</g>;co<b/>nshunə;vblex
jeter<g><b/>un<b/>oeil</g>;mǎʼ<b/>miɑg;vblex
analiser<g><b/>un<b/>texte</g>;na<b/>mbɑ̀ncobə;vblex
patir;nɛnə;vblex
aller;nɛ̀nə;vblex
aller;nɛ̀nə;vblex
partir;nɛ̀nə;vblex
voyager;nɛ̌n<b/>katə̀;vblex
progresser;nɛ̌n<b/>mbwə̀;vblex
évangéliser;sǎ<b/>Ncobnsi;vblex
étendre;sǎ;vblex
bouder;shud<b/>ncù;vblex
serrer;shəʼə;vblex
interdire;shə̀ʼə;vblex
raconter<g><b/>des<b/>histoire</g>;soŋ<b/>cɔ̀;vblex
laver;sògə;vblex
conduire;sôŋ;vblex
chausser;sǒ<b/>nkətoʼo;vblex
piquer;sùbə;vblex
converser;swatə<b/>ncobə;vblex
vendre;swɛnə;vblex
retirer<g><b/>de<b/>l’argent</g>;sɔ̌<b/>nkɑb;vblex
retirer;sɔ̌;vblex
marchander;ta;vblex
mentir;tadtə;vblex
mouiller;tam<b/>ntsə;vblex
unifier;tamtə̌;vblex
tirer;tamə;vblex
tirer;tamə;vblex
viser;tamə;vblex
visser;tamə;vblex
attacher;taŋə;vblex
chasser;taʼa;vblex
mélanger;tàmtə̌;vblex
attacher;tàŋə;vblex
débattre;tâ<b/>ncù;vblex
percer;to;vblex
passer;togə;vblex
incendier;tonə;vblex
rôtir;tonə;vblex
récolter;toŋə;vblex
entamer;toʼo;vblex
commencer;toʼtə;vblex
cracher;tǒg<b/>ntsi;vblex
inquiéter;tǒn<b/>ndem;vblex
couper;troc’hañ;vblex
collecter;tsaʼtə;vblex
embrasser;tsiagə;vblex
glisser;tsiagə;vblex
appeller;tsiaŋe;vblex
inviter;tsiaŋə;vblex
gliser;tsiàgə;vblex
aligner;tsin<b/>nka;vblex
arrêter;tsinə;vblex
cesser;tsinə;vblex
piller;tswaʼa;vblex
creuser;tswàʼa;vblex
spécifier;tswàʼtə̌;vblex
corriger;tswit<b/>nkʉn;vblex
argumenter;tswìʼtə̌;vblex
rester;tswə;vblex
sortir;tumə;vblex
sortir;tumə;vblex
puiser;tuʼu;vblex
tousser;twiagə;vblex
sifffer;tɔ<b/>fin;vblex
téléphoner;tɔ<b/>kɑb;vblex
jouer<g><b/>de<b/>la<b/>trompette</g>;tɔ<b/>ndɔ;vblex
crier;tɔ;vblex
hurler;tɔ;vblex
commander;tɔ̌;vblex
avertir;tə<b/>bu;vblex
timbrer;tə<b/>mfìʼ;vblex
limiter;tə<b/>ndʉ̀;vblex
déposer;tə<b/>nsi;vblex
souiller;tə<b/>ntɑnə;vblex
accuser;tə<b/>nǔ<b/>tû;vblex
fonder;tə<b/>tǔn;vblex
métrer;tə;vblex
poser;tə;vblex
pousser;tɛnə;vblex
compter;tʉntə;vblex
conter;tʉntə;vblex
unir;unaniñ;vblex
givrer;vɛ̀dtə̌;vblex
fouetter;vʉlə;vblex
bricoler;vʉ̌;vblex
tomber;vʉ̌;vblex
récolter;wàlə;vblex
récolter<g><b/>la<b/>banane</g>;wǎd<b/>kə̀lɔ̀;vblex
voter;weʼe;vblex
facher;ya<b/>ntʉ;vblex
bailler;yagə;vblex
bayer;yagə;vblex
soullier;yagə;vblex
sécher;yagə;vblex
traverser;yaʼa;vblex
guérir;yàtə̌;vblex
bronzer;yog<b/>nyàm;vblex
sauver<b/>quelqu'un;yǒg<b/>mə̀n;vblex
râper;yùbə;vblex
aider;ywimtə̌;vblex
planter;ywìlə;vblex
saturer;ywɛlə;vblex
placer;yɑbə;vblex
démanger;yɑ̀gə;vblex
manger;jʉ;vblex
survivre;yɔ̀gə;vblex
suffire;yən<b/>ngəʼ;vblex
voir;yənə;vblex
rêver;zi<b/>dʉ̀m;vblex
marcher;zìnə;vblex
assassiner;zwi;vblex
tuer;zwi;vblex
inspirer;zwiàgə;vblex
expérimenter;zwiʼtə;vblex
rire;zwǐ;vblex
chevaucher;ŋat<b/>nyɑmdiaŋ;vblex
plier;ŋuʼu;vblex
animer;ŋwa<b/>dʉʼ;vblex
animer;ŋwatə<b/>dʉʼ;vblex
pisser;tsìntə̌;vblex
trahir;nə<b/>sitə<b/> kùd<b/>mɛ̀n;vblex
Organisation<b/>Mondiale<b/>de<b/>la<b/>Santé;Tàmtə<b/>twsə̂ntǔn<b/>Ngɔ̌ngɔ̀;np
F.A.O;Nkêm<b/>ngɔ̌ngɔ̀;np,abbr
dévise<b/>d'un<b/>pays;bʉʼ<b/>ngɔ̀;n
U.A;Ntàmtə̀<b/>ngɔ̌<b/>Afrika;abbr
savoir;nə̀<b/>lɛ̀nə;vblex
sage;zənù;adj
teint<b/>claire;nə̀lɑnbà;adj
teint<b/>noir;nə̀sɛnə;adj
teint<b/>bronzé;nə̀bǎ;adj
noir<b/>ciré;nəsɛnnzidtə;adj
prognathe;nyînnsɔ̀;adj
bossu;tûʼmvɛ̀n;adj
être<b/>sot;nə̀<b/>kǎgnì;adj
être<b/>ivre;nə̀<b/>bumə;adj
minauder;nə̀<b/>sələ;adj
être<b/>déterminé;nùkôʼntʉ;adj
yeux<b/>éteints;bitə̀miɑg;adj
gros<b/>yeux;nkɔ̂miɑg;adj
joues<b/>abattues;dùtə̀ngəʼ;adj
jouflu;mùdngə̀ʼ;adj
joue<b/>creuses;tôngə̀ʼ;adj
chevelue<b/>en<b/>forme<b/>M<b/>sur<b/>le<b/>front;tû<b/>nə̀<b/>to<b/>nsoʼ;adj
gros;ghuʼu;adj
sec;njum;adj
rouge;mə̀ba;adj
blacn;foge;adj
savoir;lɛnə;adj
sage;zənù;adj
teint<b/>claire;nə̀lɑnbà;adj
teint<b/>noir;nə̀sɛnə;adj
teint<b/>bronzé;nə̀bǎ;adj
noir<b/>ciré;nəsɛnnzidtə;adj
prognathe;nyînnsɔ̀;adj
bossu;tûʼmvɛ̀n;adj
être<b/>sot;nə̀<b/>kǎgnì;adj
être<b/>ivre;nə̀<b/>bumə;adj
minauder;nə̀<b/>sələ;adj
être<b/>déterminé;nùkôʼntʉ;adj
yeux<b/>éteints;bitə̀miɑg;adj
gros<b/>yeux;nkɔ̂miɑg;adj
joues<b/>abattues;dùtə̀ngəʼ;adj
jouflu;mùdngə̀ʼ;adj
joue<b/>creuses;tôngə̀ʼ;adj
chevelue<b/>en<b/>forme<b/>M<b/>sur<b/>le<b/>front;tû<b/>nə̀<b/>to<b/>nsoʼ;adj
se<b/>tresser;nə̀<b/>baʼ<b/>tu;vblex
se<b/>raser;nə̀<b/>kom<b/>tu;vblex
laver;nə̀<b/>sǒg;vblex
se<b/>laver<b/>le<b/>visage;nə̀<b/>sǒg<b/>sə;vblex
maigrire;nə̀<b/>jumə;vblex
injurier;nə̀<b/>cǎb<b/>ncù;vblex
se<b/>mmoquer;nə̀<b/>cǎb<b/>ncù;vblex
se<b/>rejouir;nə̀<b/>tsiàŋtə̌;vblex
gronder;nə̀<b/>cʉagə;vblex
aimer;nə̀<b/>kɔ̌;POS
avoir<b/>du<b/>coeur;nə̀<b/>bwɔ̌<b/>ntʉ;POS
envier<b/>quelque<b/>chose;nə̀<b/>cʉ̌<b/>ju;POS
être<b/>malicieux;nə̀<b/>zətə;adj
être<b/>gai;nə̀<b/>satə;adj
être<b/>tétu;nə̀<b/>tǎ<b/>tu;vblex
obiellir;nə̀<b/>juʼ<b/>ncù;vblex
voler;nə̀<b/>fələ;vblex
être<b/>ouvert;nə̀<b/>fʉǎg<b/>ncù;adj
être<b/>sournois;nə̀<b/>lɛ̌d<b/>ncù;adj
faire<b/>un<b/>bon<b/>exceptionnel;nə̀<b/>zwiɑ̀gə;vblex
gouter;nə̀<b/>zwiʼtə;vblex
écouter;nə̀<b/>zwiʼtə;vblex
comprendre;nə̀<b/>juʼ<b/>tǔn<b/>nù;vblex
sourire;nə̀<b/>nǔʼ<b/>zwì;vblex
rire;nə̀<b/>zwǐ;vblex
pleurer;nə̀<b/>lɑ̀nə;vblex
se<b/>lamenter;nə̀<b/>lɑ̀nə;vblex
pleurer;nə̀<b/>kwaʼa;vblex
camoufler<b/>le<b/>rire;nə̀<b/>lǎb<b/>zwì<b/>kog;vblex
masser;nə̀<b/>sàmə;vblex
s'étirer;nə̀<b/>sǎm<b/>wʉd;vblex
secher;nə̀<b/>yagə;vblex
bayer;nə̀<b/>yagə;vblex
s'enquiéter;nə̀<b/>lǎb<b/>wud;vblex
grincer<b/>les<b/>dent;nə̀<b/>fɛd<b/>nsɔ;vblex
soufrire;nə̀<b/>fɛd<b/>nsɔ;vblex
prendre<b/>conscience;nə<b/>lǒ<b/>ntʉ<b/>nɛ̌n<b/>càm<b/>yi;vblex
bruler;nə̀<b/>tonə;vblex
gere<b/>l'argent;nə̀<b/>tɔ̌<b/>nkab;vblex
commander;nə̀<b/>tɔ̌<b/>bənntʉ̀n;vblex
s'arreter;nə̀<b/>tsinə;vblex
rouler;nə̀<b/>yàŋə;vblex
déraisoner;tu<b/>nə̀<b/>ghua'<b/>mfʉɑg;vblex
garder<b/>racune;nə̀<b/>laŋ<b/>mbaŋə;vblex
voler<b/>par<b/>dissimulation;nə̀<b/>ghùmtə̌;vblex
être<b/>audacieux;nə̀<b/>koʼ<b/>tu;vblex
faire<b/>du<b/>mal<b/>à<b/>autruit;nə̀<b/>yɑb<b/>ngəʼ;vblex
faire<b/>du<b/>mal<b/>à<b/>autruit;nə̀<b/>ka<b/>ngəʼ;vblex
